arquivo,doi
Lima_D'Ascenzi_2013_IMPLEMENTAÇÃODEPOLITICASPUBLICAS_PERSPECTIVAS ANALITICAS_doi_10.1590_S0104-44782013000400006.pdf,10.1590/S0104-44782013000400006
Mello_Artaxo_2016_EvoluçãoDoPlanoDeAçãoParaPrevençãoEControleDoDesmatamentoNaAmazôniaLegal_doi_10.11606_issn.2316-901X.v0i66p108-129.pdf,10.11606/issn.2316-901X.v0i66p108-129
