arquivo,doi
Geet_Lenferink_Leendertse_2019_Policy design dynamics_doi_10.1080_25741292.2019.1678232.pdf,10.1080/25741292.2019.1678232
Lima_Aguiar_Lui_MapeandoALiteraturaSobreAnaliseDoDesenhoDePoliticasPublicas_doi_10.1590_0103-3352.2021.36.246779.pdf,10.1590/0103-3352.2021.36.246779
Lui_Rosa_Aguiar_Lima_Micro-DimensionsOfDigitalPolicyDesignInstrumentsAComparativeAnalysisAcrossBrazilianStates_2026_doi_10.1080_13876988.2026.2646679.pdf,10.1080/13876988.2026.2646679
Newman_Nurfaiza_2020_PolicyDesignNon-designAndAnti-designTheRegulationOfE-cigarettesInIndonesia_doi_10.1080_01442872.2019.1708887.pdf,10.1080/01442872.2019.1708887
