pattern	path	line	column	classification	active	criticality	mutability	risk	entrypoint_related	excerpt
academic_pipeline_rc10	docs/refactor/academic-pipeline/AP-004/AP-004D_VERSION_MARKER_INVENTORY.md	90	335	histórica	false	baixa	congelada/auxiliar	baixo	false	"| a5bec8a0718005d4dbb2 | `marcador_ambiguo_decisao_manual` | `revisao_manual` | `rc10` | `—` | `software/academic_pipeline_rc10_7_conformidade/.patch_backups/paper_metadata_sources_v14_1_20260630_083955/app_bundle/scripts/pipeline/academic_pipeline_toml_generator_interativo.py:2968:48` | `python_string` | `—` | `não` | — | f""# Uso: academic_pipeline_rc10.py --config {data['config_path']} --somente-renderizar --document-json {data.get('document_json', '')}"" |"
academic_pipeline_rc10	docs/refactor/academic-pipeline/AP-004/AP-004D_VERSION_MARKER_INVENTORY.md	92	374	histórica	false	baixa	congelada/auxiliar	baixo	false	"| 3896a669825b7a0a1354 | `marcador_ambiguo_decisao_manual` | `revisao_manual` | `rc10` | `—` | `software/academic_pipeline_rc10_7_conformidade/.patch_backups/paper_metadata_sources_v14_1_20260630_083955/app_bundle/scripts/pipeline/academic_pipeline_toml_generator_interativo.py:3435:74` | `python_string` | `—` | `não` | — | f""pipenv run python app_bundle/scripts/pipeline/academic_pipeline_rc10.py --config {config_for_cli} --show-prompts"" |"
academic_pipeline_rc10	docs/refactor/academic-pipeline/AP-004/AP-004D_VERSION_MARKER_INVENTORY.md	93	374	histórica	false	baixa	congelada/auxiliar	baixo	false	"| aa6e8b76cce704a04e9d | `marcador_ambiguo_decisao_manual` | `revisao_manual` | `rc10` | `—` | `software/academic_pipeline_rc10_7_conformidade/.patch_backups/paper_metadata_sources_v14_1_20260630_083955/app_bundle/scripts/pipeline/academic_pipeline_toml_generator_interativo.py:3436:74` | `python_string` | `—` | `não` | — | f""pipenv run python app_bundle/scripts/pipeline/academic_pipeline_rc10.py --config {config_for_cli} --check-config"" |"
academic_pipeline_rc10	docs/refactor/academic-pipeline/AP-004/AP-004D_VERSION_MARKER_INVENTORY.md	94	374	histórica	false	baixa	congelada/auxiliar	baixo	false	"| 572098a143d15acefb49 | `marcador_ambiguo_decisao_manual` | `revisao_manual` | `rc10` | `—` | `software/academic_pipeline_rc10_7_conformidade/.patch_backups/paper_metadata_sources_v14_1_20260630_083955/app_bundle/scripts/pipeline/academic_pipeline_toml_generator_interativo.py:3440:95` | `python_string` | `—` | `não` | — | f""pipenv run python app_bundle/scripts/pipeline/academic_pipeline_rc10.py --config {config_path.relative_to(ROOT)} --somente-renderizar --document-json {doc_json}"" |"
academic_pipeline_rc10	docs/refactor/academic-pipeline/AP-004/AP-004D_VERSION_MARKER_INVENTORY.md	95	374	histórica	false	baixa	congelada/auxiliar	baixo	false	"| 266b7af576f93739dace | `marcador_ambiguo_decisao_manual` | `revisao_manual` | `rc10` | `—` | `software/academic_pipeline_rc10_7_conformidade/.patch_backups/paper_metadata_sources_v14_1_20260630_083955/app_bundle/scripts/pipeline/academic_pipeline_toml_generator_interativo.py:3442:95` | `python_string` | `—` | `não` | — | f""pipenv run python app_bundle/scripts/pipeline/academic_pipeline_rc10.py --config {config_path.relative_to(ROOT)}"" |"
academic_pipeline_rc10	docs/refactor/academic-pipeline/AP-004/AP-004D_VERSION_MARKER_INVENTORY.md	100	237	histórica	false	baixa	congelada/auxiliar	baixo	false	"| ee8264ecd16545cbfc24 | `marcador_ambiguo_decisao_manual` | `revisao_manual` | `rc10` | `—` | `software/academic_pipeline_rc10_7_conformidade/.patch_backups/prisma_pretriagem_ia_semantic_v16_20260630_114301/app_bundle/scripts/pipeline/academic_pipeline_rc10.py:760:40` | `python_string` | `—` | `não` | — | f""{prefix}.rc10_report.json"" |"
academic_pipeline_rc10	docs/refactor/academic-pipeline/AP-004/AP-004D_VERSION_MARKER_INVENTORY.md	101	237	histórica	false	baixa	congelada/auxiliar	baixo	false	"| 82841fdb1ddf7ad678b7 | `marcador_ambiguo_decisao_manual` | `revisao_manual` | `rc10` | `—` | `software/academic_pipeline_rc10_7_conformidade/.patch_backups/prisma_pretriagem_ia_semantic_v16_20260630_114301/app_bundle/scripts/pipeline/academic_pipeline_rc10.py:919:44` | `python_string` | `—` | `não` | — | f""{prefix}.rc10_report.json"" |"
academic_pipeline_rc10	docs/refactor/academic-pipeline/AP-004/AP-004D_VERSION_MARKER_INVENTORY.md	102	237	histórica	false	baixa	congelada/auxiliar	baixo	false	"| c153e2715fb3bd1e6527 | `marcador_ambiguo_decisao_manual` | `revisao_manual` | `rc10` | `—` | `software/academic_pipeline_rc10_7_conformidade/.patch_backups/prisma_pretriagem_ia_semantic_v16_20260630_114301/app_bundle/scripts/pipeline/academic_pipeline_rc10.py:1100:36` | `python_string` | `—` | `não` | — | f""{prefix}.rc10_report.json"" |"
academic_pipeline_rc10	docs/refactor/academic-pipeline/AP-004/AP-004D_VERSION_MARKER_INVENTORY.md	105	340	histórica	false	baixa	congelada/auxiliar	baixo	false	"| fbbfdc99de2a78a64660 | `marcador_ambiguo_decisao_manual` | `revisao_manual` | `rc10` | `—` | `software/academic_pipeline_rc10_7_conformidade/.patch_backups/prisma_pretriagem_ia_semantic_v16_20260630_114301/app_bundle/scripts/pipeline/academic_pipeline_toml_generator_interativo.py:3155:48` | `python_string` | `—` | `não` | — | f""# Uso: academic_pipeline_rc10.py --config {data['config_path']} --somente-renderizar --document-json {data.get('document_json', '')}"" |"
academic_pipeline_rc10	docs/refactor/academic-pipeline/AP-004/AP-004D_VERSION_MARKER_INVENTORY.md	107	379	histórica	false	baixa	congelada/auxiliar	baixo	false	"| 8ba514403f4a920e04ec | `marcador_ambiguo_decisao_manual` | `revisao_manual` | `rc10` | `—` | `software/academic_pipeline_rc10_7_conformidade/.patch_backups/prisma_pretriagem_ia_semantic_v16_20260630_114301/app_bundle/scripts/pipeline/academic_pipeline_toml_generator_interativo.py:3646:74` | `python_string` | `—` | `não` | — | f""pipenv run python app_bundle/scripts/pipeline/academic_pipeline_rc10.py --config {config_for_cli} --show-prompts"" |"
academic_pipeline_rc10	docs/refactor/academic-pipeline/AP-004/AP-004D_VERSION_MARKER_INVENTORY.md	108	379	histórica	false	baixa	congelada/auxiliar	baixo	false	"| a92b476fdae1112e5e2c | `marcador_ambiguo_decisao_manual` | `revisao_manual` | `rc10` | `—` | `software/academic_pipeline_rc10_7_conformidade/.patch_backups/prisma_pretriagem_ia_semantic_v16_20260630_114301/app_bundle/scripts/pipeline/academic_pipeline_toml_generator_interativo.py:3647:74` | `python_string` | `—` | `não` | — | f""pipenv run python app_bundle/scripts/pipeline/academic_pipeline_rc10.py --config {config_for_cli} --check-config"" |"
academic_pipeline_rc10	docs/refactor/academic-pipeline/AP-004/AP-004D_VERSION_MARKER_INVENTORY.md	109	379	histórica	false	baixa	congelada/auxiliar	baixo	false	"| 0b2a5559c0eff9bf5bca | `marcador_ambiguo_decisao_manual` | `revisao_manual` | `rc10` | `—` | `software/academic_pipeline_rc10_7_conformidade/.patch_backups/prisma_pretriagem_ia_semantic_v16_20260630_114301/app_bundle/scripts/pipeline/academic_pipeline_toml_generator_interativo.py:3651:95` | `python_string` | `—` | `não` | — | f""pipenv run python app_bundle/scripts/pipeline/academic_pipeline_rc10.py --config {config_path.relative_to(ROOT)} --somente-renderizar --document-json {doc_json}"" |"
academic_pipeline_rc10	docs/refactor/academic-pipeline/AP-004/AP-004D_VERSION_MARKER_INVENTORY.md	110	379	histórica	false	baixa	congelada/auxiliar	baixo	false	"| c8e0d558ed99d5d028f8 | `marcador_ambiguo_decisao_manual` | `revisao_manual` | `rc10` | `—` | `software/academic_pipeline_rc10_7_conformidade/.patch_backups/prisma_pretriagem_ia_semantic_v16_20260630_114301/app_bundle/scripts/pipeline/academic_pipeline_toml_generator_interativo.py:3653:95` | `python_string` | `—` | `não` | — | f""pipenv run python app_bundle/scripts/pipeline/academic_pipeline_rc10.py --config {config_path.relative_to(ROOT)}"" |"
academic_pipeline_rc10	docs/refactor/academic-pipeline/AP-004/AP-004D_VERSION_MARKER_INVENTORY.md	124	339	histórica	false	baixa	congelada/auxiliar	baixo	false	"| 58740a3da215cae7a1bf | `marcador_ambiguo_decisao_manual` | `revisao_manual` | `rc10` | `—` | `software/academic_pipeline_rc10_7_conformidade/.patch_backups/wizard_toml_optional_empty_v14_2_20260630_085338/app_bundle/scripts/pipeline/academic_pipeline_toml_generator_interativo.py:3026:48` | `python_string` | `—` | `não` | — | f""# Uso: academic_pipeline_rc10.py --config {data['config_path']} --somente-renderizar --document-json {data.get('document_json', '')}"" |"
academic_pipeline_rc10	docs/refactor/academic-pipeline/AP-004/AP-004D_VERSION_MARKER_INVENTORY.md	126	378	histórica	false	baixa	congelada/auxiliar	baixo	false	"| 75a1f8a1d168ebe82b08 | `marcador_ambiguo_decisao_manual` | `revisao_manual` | `rc10` | `—` | `software/academic_pipeline_rc10_7_conformidade/.patch_backups/wizard_toml_optional_empty_v14_2_20260630_085338/app_bundle/scripts/pipeline/academic_pipeline_toml_generator_interativo.py:3493:74` | `python_string` | `—` | `não` | — | f""pipenv run python app_bundle/scripts/pipeline/academic_pipeline_rc10.py --config {config_for_cli} --show-prompts"" |"
academic_pipeline_rc10	docs/refactor/academic-pipeline/AP-004/AP-004D_VERSION_MARKER_INVENTORY.md	127	378	histórica	false	baixa	congelada/auxiliar	baixo	false	"| 87a8af5f9d06bf6e5d7e | `marcador_ambiguo_decisao_manual` | `revisao_manual` | `rc10` | `—` | `software/academic_pipeline_rc10_7_conformidade/.patch_backups/wizard_toml_optional_empty_v14_2_20260630_085338/app_bundle/scripts/pipeline/academic_pipeline_toml_generator_interativo.py:3494:74` | `python_string` | `—` | `não` | — | f""pipenv run python app_bundle/scripts/pipeline/academic_pipeline_rc10.py --config {config_for_cli} --check-config"" |"
academic_pipeline_rc10	docs/refactor/academic-pipeline/AP-004/AP-004D_VERSION_MARKER_INVENTORY.md	128	378	histórica	false	baixa	congelada/auxiliar	baixo	false	"| 406f77b964c38e84a190 | `marcador_ambiguo_decisao_manual` | `revisao_manual` | `rc10` | `—` | `software/academic_pipeline_rc10_7_conformidade/.patch_backups/wizard_toml_optional_empty_v14_2_20260630_085338/app_bundle/scripts/pipeline/academic_pipeline_toml_generator_interativo.py:3498:95` | `python_string` | `—` | `não` | — | f""pipenv run python app_bundle/scripts/pipeline/academic_pipeline_rc10.py --config {config_path.relative_to(ROOT)} --somente-renderizar --document-json {doc_json}"" |"
academic_pipeline_rc10	docs/refactor/academic-pipeline/AP-004/AP-004D_VERSION_MARKER_INVENTORY.md	129	378	histórica	false	baixa	congelada/auxiliar	baixo	false	"| 54029e9a202e5fe77881 | `marcador_ambiguo_decisao_manual` | `revisao_manual` | `rc10` | `—` | `software/academic_pipeline_rc10_7_conformidade/.patch_backups/wizard_toml_optional_empty_v14_2_20260630_085338/app_bundle/scripts/pipeline/academic_pipeline_toml_generator_interativo.py:3500:95` | `python_string` | `—` | `não` | — | f""pipenv run python app_bundle/scripts/pipeline/academic_pipeline_rc10.py --config {config_path.relative_to(ROOT)}"" |"
academic_pipeline_rc10	docs/refactor/academic-pipeline/AP-004/AP-004D_VERSION_MARKER_INVENTORY.md	139	266	histórica	false	baixa	congelada/auxiliar	baixo	false	| c29a9ea1f149d4cb03a4 | `marcador_ambiguo_decisao_manual` | `revisao_manual` | `rc10` | `—` | `software/academic_pipeline_rc10_7_conformidade/academic_pipeline/command_dispatch.py:22:60` | `python_comment` | `—` | `não` | — | # Origem: app_bundle/scripts/pipeline/academic_pipeline_rc10.py:914-920 |
academic_pipeline_rc10	docs/refactor/academic-pipeline/AP-004/AP-004D_VERSION_MARKER_INVENTORY.md	140	266	histórica	false	baixa	congelada/auxiliar	baixo	false	| 759d32d44dd47ece3412 | `marcador_ambiguo_decisao_manual` | `revisao_manual` | `rc10` | `—` | `software/academic_pipeline_rc10_7_conformidade/academic_pipeline/command_dispatch.py:36:60` | `python_comment` | `—` | `não` | — | # Origem: app_bundle/scripts/pipeline/academic_pipeline_rc10.py:922-928 |
academic_pipeline_rc10	docs/refactor/academic-pipeline/AP-004/AP-004D_VERSION_MARKER_INVENTORY.md	141	266	histórica	false	baixa	congelada/auxiliar	baixo	false	| 6004454649af15dece54 | `marcador_ambiguo_decisao_manual` | `revisao_manual` | `rc10` | `—` | `software/academic_pipeline_rc10_7_conformidade/academic_pipeline/command_dispatch.py:50:60` | `python_comment` | `—` | `não` | — | # Origem: app_bundle/scripts/pipeline/academic_pipeline_rc10.py:930-937 |
